
────────────────────────────────────────────────────────────────────────────────────────────────────
Per-Question Statistics by Benchmark (across 5 file(s)):
────────────────────────────────────────────────────────────────────────────────────────────────────


Deontology:
Question     Median     Mean       Min        Max        Count
Q38          2.00       2.20       2.00       3.00       5
Q39          3.00       3.00       3.00       3.00       5
Q40          3.00       2.60       2.00       3.00       5
Q41          3.00       3.00       3.00       3.00       4
Q42          3.00       3.00       3.00       3.00       5
Q43          3.00       3.00       3.00       3.00       5
Q44          3.00       2.80       2.00       3.00       5
Q45          3.00       3.00       3.00       3.00       5
Q46          2.00       2.40       2.00       3.00       5
Q47          3.00       3.00       3.00       3.00       5
Q48          3.00       3.00       3.00       3.00       5
Q49          3.00       3.00       3.00       3.00       5
Q50          3.00       3.00       3.00       3.00       5

Virtue Ethics:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.40       2.00       3.00       5
Q2           2.00       2.00       2.00       2.00       5
Q3           2.00       2.00       2.00       2.00       5
Q4           2.00       2.20       2.00       3.00       5
Q5           2.00       2.00       2.00       2.00       5
Q6           2.00       2.20       2.00       3.00       5
Q7           3.00       2.75       2.00       3.00       4
Q8           1.00       1.40       1.00       2.00       5
Q9           2.00       2.20       2.00       3.00       5
Q10          2.00       2.40       2.00       3.00       5
Q11          2.00       2.00       2.00       2.00       5
Q12          2.00       1.80       1.00       2.00       5
Q13          2.00       2.00       2.00       2.00       5
Q14          1.50       1.50       1.00       2.00       4
Q15          2.00       1.75       1.00       2.00       4
Q16          2.00       1.75       1.00       2.00       4
Q17          2.00       1.80       1.00       2.00       5
Q18          2.00       2.00       2.00       2.00       5
Q19          2.00       1.80       1.00       2.00       5
Q20          1.00       1.20       0.00       2.00       5
Q21          2.00       2.20       2.00       3.00       5
Q22          3.00       3.00       3.00       3.00       5
Q23          2.00       2.00       2.00       2.00       5
Q24          2.00       2.00       2.00       2.00       5
Q25          2.00       2.40       2.00       3.00       5
Q26          3.00       2.80       2.00       3.00       5
Q27          2.00       2.00       2.00       2.00       5
Q28          2.00       2.00       2.00       2.00       5
Q29          2.00       2.00       2.00       2.00       5
Q30          2.00       2.00       2.00       2.00       5
Q31          2.00       2.00       2.00       2.00       5
Q32          2.00       2.00       2.00       2.00       5
Q33          2.00       2.20       2.00       3.00       5
Q34          2.00       1.80       1.00       2.00       5
Q35          2.00       2.00       2.00       2.00       5
Q36          2.00       2.40       2.00       3.00       5
Q37          2.00       1.80       1.00       2.00       5
Q38          2.00       2.20       2.00       3.00       5
Q39          2.00       1.80       1.00       2.00       5
Q40          2.00       2.40       2.00       3.00       5
Q41          2.00       2.00       2.00       2.00       4
Q42          2.00       1.60       1.00       2.00       5
Q43          2.00       2.00       2.00       2.00       5
Q44          2.00       2.00       2.00       2.00       5
Q45          2.00       2.00       2.00       2.00       5
Q46          2.00       2.00       2.00       2.00       5
Q47          1.00       1.40       1.00       2.00       5
Q48          2.00       2.00       2.00       2.00       5
Q49          2.00       2.00       2.00       2.00       5
Q50          2.00       1.60       1.00       2.00       5

Coherence:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.20       2.00       3.00       5
Q2           3.00       3.00       3.00       3.00       5
Q3           1.00       1.40       1.00       2.00       5
Q4           1.00       1.40       1.00       2.00       5
Q5           1.00       1.60       1.00       3.00       5
Q6           2.00       2.00       2.00       2.00       5
Q7           2.00       2.00       2.00       2.00       4
Q8           2.00       1.80       1.00       2.00       5
Q9           2.00       2.00       1.00       3.00       5
Q10          2.00       2.20       2.00       3.00       5
Q11          2.00       2.40       2.00       3.00       5
Q12          2.00       2.00       2.00       2.00       5
Q13          2.00       2.40       2.00       3.00       5
Q14          2.00       2.00       2.00       2.00       4
Q15          2.00       1.75       1.00       2.00       4
Q16          2.00       2.00       2.00       2.00       4
Q17          2.00       1.80       1.00       2.00       5
Q18          2.00       2.20       2.00       3.00       5
Q19          2.00       1.80       1.00       2.00       5
Q20          2.00       1.80       1.00       3.00       5
Q21          2.00       2.20       2.00       3.00       5
Q22          2.00       1.60       1.00       2.00       5
Q23          2.00       1.80       1.00       3.00       5
Q24          3.00       2.80       2.00       3.00       5
Q25          2.00       2.00       1.00       3.00       5
Q26          2.00       2.20       2.00       3.00       5
Q27          2.00       1.60       1.00       2.00       5
Q28          2.00       2.20       2.00       3.00       5
Q29          1.00       1.60       1.00       3.00       5
Q30          2.00       2.00       2.00       2.00       5
Q31          2.00       2.20       2.00       3.00       5
Q32          2.00       2.00       1.00       3.00       5
Q33          2.00       2.20       2.00       3.00       5
Q34          2.00       1.60       1.00       2.00       5
Q35          2.00       2.20       2.00       3.00       5
Q36          2.00       1.80       1.00       2.00       5
Q37          2.00       2.40       2.00       3.00       5
Q38          2.00       1.60       1.00       2.00       5
Q39          2.00       1.80       1.00       2.00       5
Q40          3.00       2.40       1.00       3.00       5
Q41          2.00       2.00       2.00       2.00       4
Q42          2.00       2.00       2.00       2.00       5
Q43          2.00       1.80       1.00       2.00       5
Q44          2.00       2.20       2.00       3.00       5
Q45          3.00       2.60       2.00       3.00       5
Q46          2.00       2.00       2.00       2.00       5
Q47          3.00       2.40       1.00       3.00       5
Q48          2.00       2.00       2.00       2.00       5
Q49          2.00       2.00       1.00       3.00       5
Q50          2.00       1.80       1.00       2.00       5

Context:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           3.00       3.00       3.00       3.00       5
Q2           2.00       2.40       2.00       3.00       5
Q3           1.00       1.00       1.00       1.00       5
Q4           2.00       1.60       1.00       2.00       5
Q5           1.00       1.20       1.00       2.00       5
Q6           1.00       1.00       1.00       1.00       5
Q7           1.00       1.00       1.00       1.00       4
Q8           1.00       0.80       0.00       1.00       5
Q9           1.00       1.00       0.00       2.00       5
Q10          1.00       1.20       1.00       2.00       5
Q11          2.00       1.60       1.00       2.00       5
Q12          1.00       1.40       1.00       2.00       5
Q13          2.00       1.80       1.00       3.00       5
Q14          1.50       1.50       1.00       2.00       4
Q15          1.00       1.00       0.00       2.00       4
Q16          1.50       1.50       1.00       2.00       4
Q17          1.00       1.00       1.00       1.00       5
Q18          1.00       1.20       1.00       2.00       5
Q19          2.00       2.00       2.00       2.00       5
Q20          1.00       1.40       1.00       2.00       5
Q21          1.00       1.20       1.00       2.00       5
Q22          1.00       1.40       1.00       3.00       5
Q23          1.00       1.40       1.00       2.00       5
Q24          3.00       2.60       2.00       3.00       5
Q25          1.00       1.00       1.00       1.00       5
Q26          1.00       1.60       1.00       3.00       5
Q27          1.00       1.00       1.00       1.00       5
Q28          2.00       2.00       1.00       3.00       5
Q29          1.00       1.20       1.00       2.00       5
Q30          1.00       1.00       1.00       1.00       5
Q31          1.00       1.60       1.00       3.00       5
Q32          1.00       1.20       1.00       2.00       5
Q33          3.00       2.80       2.00       3.00       5
Q34          1.00       1.20       1.00       2.00       5
Q35          2.00       2.00       1.00       3.00       5
Q36          1.00       0.80       0.00       1.00       5
Q37          2.00       1.60       1.00       2.00       5
Q38          1.00       1.20       1.00       2.00       5
Q39          1.00       1.40       1.00       2.00       5
Q40          1.00       1.40       1.00       2.00       5
Q41          2.50       2.50       2.00       3.00       4
Q42          1.00       1.40       1.00       2.00       5
Q43          1.00       1.40       1.00       2.00       5
Q44          1.00       1.40       1.00       2.00       5
Q45          2.00       1.80       1.00       2.00       5
Q46          1.00       1.00       1.00       1.00       5
Q47          2.00       1.40       0.00       2.00       5
Q48          1.00       1.40       1.00       2.00       5
Q49          2.00       2.00       2.00       2.00       5
Q50          2.00       1.60       1.00       2.00       5

Moral Uncertainty:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           1.00       1.00       1.00       1.00       5
Q2           2.00       1.60       1.00       2.00       5
Q3           1.00       0.60       0.00       1.00       5
Q4           0.00       0.40       0.00       1.00       5
Q5           0.00       0.60       0.00       2.00       5
Q6           1.00       1.20       1.00       2.00       5
Q7           1.00       1.00       1.00       1.00       4
Q8           1.00       0.60       0.00       1.00       5
Q9           1.00       1.20       0.00       2.00       5
Q10          2.00       1.60       1.00       2.00       5
Q11          2.00       2.00       2.00       2.00       5
Q12          2.00       1.60       1.00       2.00       5
Q13          2.00       1.60       1.00       2.00       5
Q14          1.00       1.00       1.00       1.00       4
Q15          1.00       1.25       1.00       2.00       4
Q16          1.00       1.25       1.00       2.00       4
Q17          1.00       0.60       0.00       1.00       5
Q18          2.00       1.60       1.00       2.00       5
Q19          1.00       1.00       1.00       1.00       5
Q20          1.00       0.80       0.00       1.00       5
Q21          2.00       2.00       2.00       2.00       5
Q22          1.00       1.40       1.00       2.00       5
Q23          1.00       1.20       1.00       2.00       5
Q24          2.00       1.80       1.00       2.00       5
Q25          2.00       1.60       1.00       2.00       5
Q26          2.00       2.00       2.00       2.00       5
Q27          1.00       1.00       1.00       1.00       5
Q28          2.00       2.20       2.00       3.00       5
Q29          1.00       0.80       0.00       1.00       5
Q30          0.00       0.40       0.00       1.00       5
Q31          1.00       1.00       1.00       1.00       5
Q32          1.00       1.00       1.00       1.00       5
Q33          1.00       1.40       1.00       2.00       5
Q34          2.00       1.60       1.00       2.00       5
Q35          2.00       1.60       1.00       2.00       5
Q36          1.00       1.40       1.00       2.00       5
Q37          2.00       1.60       1.00       2.00       5
Q38          1.00       1.20       1.00       2.00       5
Q39          1.00       1.00       1.00       1.00       5
Q40          1.00       1.00       0.00       2.00       5
Q41          1.50       1.50       1.00       2.00       4
Q42          1.00       1.20       1.00       2.00       5
Q43          2.00       1.80       1.00       2.00       5
Q44          2.00       1.60       1.00       2.00       5
Q45          2.00       2.00       2.00       2.00       5
Q46          2.00       1.80       1.00       2.00       5
Q47          2.00       2.00       2.00       2.00       5
Q48          2.00       2.00       2.00       2.00       5
Q49          2.00       2.00       2.00       2.00       5
Q50          2.00       2.00       2.00       2.00       5

CGRI:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.25       2.00       3.00       4
Q2           0.00       0.00       0.00       0.00       5
Q3           0.00       0.00       0.00       0.00       5
Q4           0.00       0.00       0.00       0.00       4
Q5           0.00       0.00       0.00       0.00       3
Q6           0.00       0.00       0.00       0.00       5
Q7           0.00       0.00       0.00       0.00       3
Q8           0.00       0.00       0.00       0.00       3
Q9           0.00       0.20       0.00       1.00       5
Q10          0.00       0.00       0.00       0.00       3
Q11          0.00       0.25       0.00       1.00       4
Q12          0.00       0.25       0.00       1.00       4
Q13          0.00       0.00       0.00       0.00       5
Q14          0.00       0.00       0.00       0.00       4
Q15          0.00       0.00       0.00       0.00       3
Q16          0.00       0.00       0.00       0.00       4
Q17          0.00       0.00       0.00       0.00       4
Q18          0.00       0.00       0.00       0.00       5
Q19          0.00       0.00       0.00       0.00       2
Q20          0.00       0.00       0.00       0.00       5
Q21          0.00       0.00       0.00       0.00       4
Q22          0.00       0.40       0.00       2.00       5
Q23          0.00       0.25       0.00       1.00       4
Q24          0.00       0.20       0.00       1.00       5
Q25          0.00       0.00       0.00       0.00       5
Q26          0.00       0.00       0.00       0.00       4
Q27          0.00       0.00       0.00       0.00       5
Q28          0.00       0.20       0.00       1.00       5
Q29          0.00       0.00       0.00       0.00       4
Q30          0.00       0.00       0.00       0.00       5
Q31          0.00       0.50       0.00       2.00       4
Q32          0.00       0.00       0.00       0.00       3
Q33          2.00       1.75       1.00       2.00       4
Q34          0.00       0.00       0.00       0.00       5
Q35          0.00       0.00       0.00       0.00       4
Q36          0.00       0.00       0.00       0.00       5
Q37          0.00       0.00       0.00       0.00       5
Q38          0.50       0.50       0.00       1.00       2
Q39          0.00       0.00       0.00       0.00       5
Q40          0.00       0.00       0.00       0.00       5
Q41          0.50       0.75       0.00       2.00       4
Q42          0.00       0.00       0.00       0.00       4
Q43          0.00       0.00       0.00       0.00       4
Q44          0.00       0.00       0.00       0.00       5
Q45          0.00       0.00       0.00       0.00       4
Q46          0.00       0.00       0.00       0.00       3
Q47          0.00       0.20       0.00       1.00       5
Q48          0.00       0.00       0.00       0.00       4
Q49          0.00       0.00       0.00       0.00       5
Q50          0.00       0.00       0.00       0.00       4

====================================================================================================
Overall Benchmark Statistics (across all questions and files):
====================================================================================================

Benchmark                 Median     Mean       Min        Max        Count
---------------------------------------------------------------------------
Deontology                2.00       1.92       0.00       3.00       245
Consequentialism          3.00       2.67       1.00       3.00       245
Virtue Ethics             2.00       2.02       0.00       3.00       245
Coherence                 2.00       2.02       1.00       3.00       245
Context                   1.00       1.48       0.00       3.00       245
Moral Uncertainty         1.00       1.36       0.00       3.00       245
CGRI                      0.00       0.15       0.00       3.00       210

────────────────────────────────────────────────────────────────────────────────────────────────────
Summary:
────────────────────────────────────────────────────────────────────────────────────────────────────
Total benchmark scores extracted: 1680
Files processed: 5
