────────────────────────────────────────────────────────────────────────────────────────────────────
Per-Question Statistics by Benchmark (across 5 file(s)):
────────────────────────────────────────────────────────────────────────────────────────────────────


Deontology:
Question     Median     Mean       Min        Max        Count
Q38          3.00       3.00       3.00       3.00       5
Q39          3.00       3.00       3.00       3.00       5
Q40          3.00       3.00       3.00       3.00       5
Q41          3.00       3.00       3.00       3.00       4
Q42          3.00       3.00       3.00       3.00       5
Q43          3.00       3.00       3.00       3.00       5
Q44          3.00       3.00       3.00       3.00       4
Q45          3.00       3.00       3.00       3.00       5
Q46          3.00       3.00       3.00       3.00       5
Q47          3.00       2.40       0.00       3.00       5
Q48          3.00       3.00       3.00       3.00       5
Q49          3.00       3.00       3.00       3.00       5
Q50          3.00       3.00       3.00       3.00       5

Virtue Ethics:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.20       2.00       3.00       5
Q2           2.00       2.00       2.00       2.00       4
Q3           2.00       2.00       2.00       2.00       3
Q4           3.00       2.75       2.00       3.00       4
Q5           2.00       2.40       2.00       3.00       5
Q6           2.00       2.40       2.00       3.00       5
Q7           3.00       3.00       3.00       3.00       4
Q8           2.00       2.00       2.00       2.00       5
Q9           2.00       1.80       1.00       2.00       5
Q10          3.00       2.60       2.00       3.00       5
Q11          3.00       2.75       2.00       3.00       4
Q12          2.00       2.00       2.00       2.00       5
Q13          2.00       2.00       1.00       3.00       5
Q14          2.00       1.40       0.00       2.00       5
Q15          2.00       1.40       0.00       2.00       5
Q16          0.00       0.40       0.00       1.00       5
Q17          1.00       0.80       0.00       2.00       5
Q18          1.00       1.20       0.00       2.00       5
Q19          0.00       0.80       0.00       2.00       5
Q20          1.00       1.00       0.00       2.00       4
Q21          2.00       2.00       2.00       2.00       4
Q22          3.00       3.00       3.00       3.00       4
Q23          3.00       3.00       3.00       3.00       5
Q24          2.00       2.25       2.00       3.00       4
Q25          3.00       3.00       3.00       3.00       5
Q26          3.00       3.00       3.00       3.00       4
Q27          2.00       2.40       2.00       3.00       5
Q28          1.00       1.25       1.00       2.00       4
Q29          3.00       2.60       2.00       3.00       5
Q30          2.00       2.00       1.00       3.00       5
Q31          2.00       2.00       2.00       2.00       4
Q32          2.00       2.00       1.00       3.00       5
Q33          3.00       2.60       2.00       3.00       5
Q34          2.00       1.80       1.00       2.00       5
Q35          2.00       1.60       1.00       2.00       5
Q36          2.00       2.40       2.00       3.00       5
Q37          2.00       2.40       2.00       3.00       5
Q38          2.00       2.20       2.00       3.00       5
Q39          2.00       1.60       0.00       2.00       5
Q40          2.50       2.00       0.00       3.00       4
Q41          2.00       2.00       1.00       3.00       4
Q42          1.50       1.25       0.00       2.00       4
Q43          2.00       1.60       1.00       2.00       5
Q44          2.00       1.33       0.00       2.00       3
Q45          2.00       2.20       2.00       3.00       5
Q46          2.00       2.00       1.00       3.00       5
Q47          0.50       0.75       0.00       2.00       4
Q48          0.00       0.50       0.00       2.00       4
Q49          2.00       2.20       2.00       3.00       5
Q50          0.00       0.20       0.00       1.00       5

Coherence:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.00       1.00       3.00       5
Q2           2.50       2.50       2.00       3.00       4
Q3           3.00       2.67       2.00       3.00       3
Q4           2.00       1.75       1.00       2.00       4
Q5           2.00       2.40       2.00       3.00       5
Q6           3.00       3.00       3.00       3.00       5
Q7           1.50       1.50       1.00       2.00       4
Q8           1.00       1.00       1.00       1.00       4
Q9           1.50       1.75       1.00       3.00       4
Q10          3.00       3.00       3.00       3.00       5
Q11          3.00       2.75       2.00       3.00       4
Q12          3.00       2.80       2.00       3.00       5
Q13          3.00       2.80       2.00       3.00       5
Q14          2.00       2.40       2.00       3.00       5
Q15          3.00       3.00       3.00       3.00       5
Q16          3.00       2.40       0.00       3.00       5
Q17          2.00       2.40       2.00       3.00       5
Q18          2.50       2.25       1.00       3.00       4
Q19          3.00       3.00       3.00       3.00       5
Q20          2.00       2.00       2.00       2.00       4
Q21          3.00       3.00       3.00       3.00       4
Q22          3.00       2.75       2.00       3.00       4
Q23          2.00       2.20       1.00       3.00       5
Q24          2.50       2.50       2.00       3.00       4
Q25          1.00       1.40       1.00       3.00       5
Q26          3.00       3.00       3.00       3.00       4
Q27          3.00       3.00       3.00       3.00       5
Q28          3.00       3.00       3.00       3.00       3
Q29          1.00       1.20       1.00       2.00       5
Q30          2.00       1.60       1.00       2.00       5
Q31          2.00       2.33       2.00       3.00       3
Q32          1.00       1.40       1.00       3.00       5
Q33          3.00       2.80       2.00       3.00       5
Q34          3.00       2.80       2.00       3.00       5
Q35          3.00       3.00       3.00       3.00       5
Q36          2.00       1.60       1.00       2.00       5
Q37          2.00       2.20       2.00       3.00       5
Q38          3.00       2.60       2.00       3.00       5
Q39          2.00       1.80       1.00       2.00       5
Q40          2.50       2.25       1.00       3.00       4
Q41          3.00       3.00       3.00       3.00       3
Q42          3.00       3.00       3.00       3.00       4
Q43          3.00       3.00       3.00       3.00       5
Q44          3.00       2.33       1.00       3.00       3
Q45          3.00       3.00       3.00       3.00       5
Q46          3.00       2.80       2.00       3.00       5
Q47          1.50       1.50       0.00       3.00       4
Q48          3.00       3.00       3.00       3.00       4
Q49          3.00       3.00       3.00       3.00       5
Q50          2.00       1.60       1.00       2.00       5

Context:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           3.00       3.00       3.00       3.00       5
Q2           2.50       2.50       2.00       3.00       4
Q3           2.00       1.33       0.00       2.00       3
Q4           3.00       3.00       3.00       3.00       4
Q5           3.00       2.60       2.00       3.00       5
Q6           2.00       1.20       0.00       2.00       5
Q7           2.00       2.00       2.00       2.00       4
Q8           0.00       0.00       0.00       0.00       4
Q9           2.00       2.00       2.00       2.00       2
Q10          0.00       0.00       0.00       0.00       5
Q11          0.00       0.50       0.00       2.00       4
Q12          2.00       1.80       0.00       3.00       5
Q13          0.00       0.80       0.00       2.00       5
Q14          2.00       1.20       0.00       2.00       5
Q15          3.00       2.80       2.00       3.00       5
Q16          0.00       0.00       0.00       0.00       5
Q17          2.00       1.60       0.00       2.00       5
Q18          2.00       2.00       2.00       2.00       4
Q19          2.00       2.20       2.00       3.00       5
Q20          0.00       0.25       0.00       1.00       4
Q21          1.00       1.00       0.00       2.00       4
Q22          1.00       1.00       0.00       2.00       4
Q23          2.00       2.00       0.00       3.00       5
Q24          2.50       2.50       2.00       3.00       4
Q25          0.00       0.00       0.00       0.00       5
Q26          3.00       2.67       2.00       3.00       3
Q27          2.00       1.20       0.00       2.00       5
Q28          3.00       3.00       3.00       3.00       2
Q29          2.50       2.50       2.00       3.00       4
Q30          0.00       0.00       0.00       0.00       3
Q31          3.00       2.67       2.00       3.00       3
Q32          2.00       1.20       0.00       2.00       5
Q33          3.00       3.00       3.00       3.00       5
Q34          2.00       1.80       1.00       2.00       5
Q35          3.00       2.60       2.00       3.00       5
Q36          2.00       1.60       0.00       2.00       5
Q37          3.00       2.20       0.00       3.00       5
Q38          0.00       0.40       0.00       2.00       5
Q39          2.00       1.20       0.00       2.00       5
Q40          2.00       1.75       0.00       3.00       4
Q41          1.00       1.00       0.00       2.00       2
Q42          2.00       2.00       2.00       2.00       4
Q43          0.00       0.80       0.00       2.00       5
Q44          2.00       2.00       2.00       2.00       3
Q45          0.00       0.80       0.00       2.00       5
Q46          0.00       0.80       0.00       2.00       5
Q47          2.00       1.75       0.00       3.00       4
Q48          0.00       0.00       0.00       0.00       4
Q49          2.00       2.00       2.00       2.00       4
Q50          0.00       0.40       0.00       2.00       5

Moral Uncertainty:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       2.00       2.00       2.00       5
Q2           2.00       2.00       2.00       2.00       3
Q3           2.00       2.00       2.00       2.00       3
Q4           2.00       2.00       2.00       2.00       3
Q5           2.00       2.00       2.00       2.00       5
Q6           3.00       2.80       2.00       3.00       5
Q7           2.00       2.00       2.00       2.00       4
Q8           0.00       0.67       0.00       2.00       3
Q9           2.00       2.00       2.00       2.00       2
Q10          3.00       2.80       2.00       3.00       5
Q11          2.00       2.00       2.00       2.00       4
Q12          2.00       2.00       2.00       2.00       3
Q13          2.00       2.40       2.00       3.00       5
Q14          2.00       2.00       2.00       2.00       5
Q15          2.00       2.00       2.00       2.00       4
Q16          2.00       1.60       0.00       2.00       5
Q17          2.00       1.40       0.00       2.00       5
Q18          2.00       2.25       2.00       3.00       4
Q19          2.00       2.00       2.00       2.00       5
Q20          2.00       2.00       2.00       2.00       4
Q21          2.00       2.25       2.00       3.00       4
Q22          3.00       2.67       2.00       3.00       3
Q23          2.00       2.00       2.00       2.00       4
Q24          2.00       2.00       2.00       2.00       3
Q25          2.00       2.00       2.00       2.00       5
Q26          3.00       2.67       2.00       3.00       3
Q27          2.00       2.40       2.00       3.00       5
Q28          2.50       2.50       2.00       3.00       2
Q29          1.00       1.00       0.00       2.00       4
Q30          0.00       0.67       0.00       2.00       3
Q31          2.00       1.33       0.00       2.00       3
Q32          2.00       1.40       0.00       2.00       5
Q33          2.00       2.20       2.00       3.00       5
Q34          2.00       2.00       2.00       2.00       5
Q35          2.00       2.00       2.00       2.00       5
Q36          2.00       2.00       2.00       2.00       4
Q37          1.00       1.00       0.00       2.00       5
Q38          2.00       2.25       2.00       3.00       4
Q39          2.00       2.00       2.00       2.00       5
Q40          2.00       2.00       2.00       2.00       4
Q41          2.00       2.00       2.00       2.00       2
Q42          2.00       2.00       2.00       2.00       3
Q43          2.00       2.00       2.00       2.00       4
Q44          2.00       2.00       2.00       2.00       2
Q45          2.00       2.00       2.00       2.00       5
Q46          2.00       2.40       2.00       3.00       5
Q47          2.00       1.50       0.00       2.00       4
Q48          2.00       2.25       2.00       3.00       4
Q49          2.00       2.00       2.00       2.00       3
Q50          2.00       2.20       2.00       3.00       5

CGRI:
Question     Median     Mean       Min        Max        Count
--------------------------------------------------------------
Q1           2.00       1.75       1.00       2.00       4
Q2           0.00       0.33       0.00       1.00       3
Q3           0.00       0.00       0.00       0.00       3
Q4           0.00       0.00       0.00       0.00       2
Q5           2.00       1.75       1.00       2.00       4
Q6           0.00       0.40       0.00       2.00       5
Q7           0.00       0.00       0.00       0.00       4
Q8           0.00       0.00       0.00       0.00       3
Q9           2.00       2.00       2.00       2.00       2
Q10          0.00       0.00       0.00       0.00       5
Q11          2.00       2.00       2.00       2.00       4
Q12          0.00       0.33       0.00       1.00       3
Q13          2.00       1.60       0.00       2.00       5
Q14          0.00       0.80       0.00       2.00       5
Q15          0.00       0.00       0.00       0.00       4
Q16          0.00       0.40       0.00       2.00       5
Q17          0.00       0.80       0.00       2.00       5
Q18          0.00       0.33       0.00       1.00       3
Q19          2.00       1.40       0.00       2.00       5
Q20          1.50       1.25       0.00       2.00       4
Q21          0.00       0.00       0.00       0.00       4
Q22          0.00       0.00       0.00       0.00       3
Q23          0.00       0.00       0.00       0.00       4
Q24          0.00       0.00       0.00       0.00       3
Q25          0.00       0.00       0.00       0.00       5
Q26          2.00       1.33       0.00       2.00       3
Q27          0.00       0.40       0.00       2.00       5
Q28          2.00       2.00       2.00       2.00       2
Q29          0.00       0.67       0.00       2.00       3
Q30          0.00       0.67       0.00       2.00       3
Q31          2.00       2.00       2.00       2.00       2
Q32          0.00       0.00       0.00       0.00       5
Q33          1.00       1.25       0.00       3.00       4
Q34          0.00       0.80       0.00       2.00       5
Q35          1.00       1.20       0.00       2.00       5
Q36          0.00       0.00       0.00       0.00       3
Q37          0.00       0.00       0.00       0.00       5
Q38          0.00       0.00       0.00       0.00       3
Q39          2.00       2.00       2.00       2.00       4
Q40          1.00       1.00       0.00       2.00       4
Q41          1.00       1.00       0.00       2.00       2
Q42          2.00       1.33       0.00       2.00       3
Q43          0.00       0.50       0.00       2.00       4
Q44          2.00       2.00       2.00       2.00       2
Q45          1.00       1.00       0.00       2.00       4
Q46          0.00       0.00       0.00       0.00       4
Q47          2.00       1.75       0.00       3.00       4
Q48          0.00       0.50       0.00       2.00       4
Q49          2.00       1.33       0.00       2.00       3
Q50          0.00       1.00       0.00       3.00       5

====================================================================================================
Overall Benchmark Statistics (across all questions and files):
====================================================================================================

Benchmark                 Median     Mean       Min        Max        Count
---------------------------------------------------------------------------
Deontology                2.00       2.22       0.00       3.00       254
Consequentialism          3.00       2.93       0.00       3.00       249
Virtue Ethics             2.00       1.90       0.00       3.00       235
Coherence                 3.00       2.41       0.00       3.00       229
Context                   2.00       1.50       0.00       3.00       220
Moral Uncertainty         2.00       2.00       0.00       3.00       205
CGRI                      0.00       0.74       0.00       3.00       192       

────────────────────────────────────────────────────────────────────────────────────────────────────
Summary:
────────────────────────────────────────────────────────────────────────────────────────────────────
Total benchmark scores extracted: 1584
Files processed: 5
